"ID","Personaje","Rareza","Tipos","Aprendizaje por nivel","Definitiva al nivel 35","Pasiva","PS / ATQ / DEF / EATQ / EDEF / VEL"
"luffy","Luffy","3","Golpe / Fruta","1: Pistola de Goma | 8: Bazooka de Goma | 13: Gatling de Goma | 26: King Kong Gun","Jet Gatling","+15% de ataque con menos del 50% de PS. Inmune al Rayo.","24 / 12 / 8 / 10 / 7 / 10"
"luffy2","Luffy: Gears y Haki","4","Golpe / Fruta","20: Jet Pistol | 30: Haki de Armadura | 38: King Kong Gun","Jet Gatling","+15% de ataque con menos del 50% de PS. Inmune al Rayo.","30 / 16 / 10 / 14 / 9 / 15"
"zoro","Zoro","3","Corte","1: Corte | 7: Oni Giri | 14: Tora Gari | 25: Santoryu Ogi","Santoryu Ogi","Hasta +25 puntos de crítico según los PS perdidos.","23 / 13 / 9 / 11 / 8 / 9"
"zoro2","Zoro Santoryu","4","Corte / Haki","20: Santoryu Ogi | 30: Haki de Armadura | 36: Ashura","Ashura","Hasta +25 puntos de crítico según los PS perdidos.","29 / 17 / 11 / 15 / 10 / 12"
"nami","Nami","3","Rayo / Viento","1: Ráfaga | 6: Descarga | 13: Cyclone Tempo | 24: Thunderbolt Tempo","Thunderbolt Tempo","+10 puntos de evasión a los aliados vivos.","20 / 10 / 7 / 12 / 8 / 12"
"nami2","Nami Clima-Tact","4","Rayo / Viento","20: Thunderbolt Tempo | 28: Cyclone Tempo","Thunderbolt Tempo","+10 puntos de evasión a los aliados vivos.","26 / 14 / 9 / 16 / 10 / 16"
"coby","Coby","1","Golpe","1: Puñetazo | 10: Cabezazo | 18: Golpe con Soru","Golpe con Soru","Sin pasiva individual","18 / 8 / 7 / 6 / 6 / 8"
"coby2","Coby Marine","2","Golpe / Haki","16: Golpe con Soru | 26: Haki de Armadura","Haki de Armadura","Sin pasiva individual","24 / 12 / 10 / 10 / 9 / 11"
"usopp","Usopp","2","Disparo","1: Tirachinas | 8: Estrella de Fuego | 15: Estrella de Plomo | 24: Kabuto Verde","Kabuto Verde","+30% de velocidad en la primera ronda.","19 / 10 / 6 / 8 / 5 / 11"
"usopp2","Sogeking","3","Disparo / Fuego","22: Kabuto Verde | 30: Estrella de Fuego","Estrella de Fuego","+30% de velocidad en la primera ronda.","25 / 14 / 8 / 12 / 7 / 13"
"sanji","Sanji","3","Golpe / Fuego","1: Patada | 9: Collier Shoot | 16: Mouton Shot | 26: Diable Jambe","Diable Jambe","Reduce un 15% todo el daño de ataques recibido.","22 / 12 / 8 / 10 / 7 / 12"
"johnny","Johnny","1","Corte","1: Corte | 12: Corte Doble","Corte Doble","Sin pasiva individual","17 / 9 / 7 / 7 / 6 / 9"
"yosaku","Yosaku","1","Corte","1: Corte | 12: Corte Doble","Corte Doble","Sin pasiva individual","18 / 9 / 8 / 7 / 7 / 8"
"piratanovato","Pirata Novato","1","Golpe","1: Puñetazo | 10: Cabezazo","Cabezazo","Sin pasiva individual","16 / 8 / 6 / 6 / 5 / 7"
"marineraso","Marine Raso","1","Disparo","1: Rifle de Marine | 12: Cañonazo","Cañonazo","Sin pasiva individual","16 / 8 / 7 / 6 / 6 / 7"
"bandido","Bandido de Montaña","1","Golpe / Tierra","1: Puñetazo | 9: Rocazo | 17: Pisotón Sísmico","Pisotón Sísmico","Sin pasiva individual","18 / 9 / 7 / 7 / 6 / 6"
"pescador","Pescador Bravo","1","Agua","1: Chorro de Agua | 11: Arpón","Arpón","Sin pasiva individual","17 / 7 / 7 / 9 / 8 / 8"
"piratapayaso","Pirata Payaso","1","Corte","1: Cuchillas Circenses | 12: Corte Doble","Corte Doble","Sin pasiva individual","17 / 9 / 6 / 7 / 5 / 9"
"piratagato","Pirata Gato Negro","2","Corte / Oscuridad","1: Garra de Gato | 11: Golpe Bajo","Garra de Gato","Sin pasiva individual","18 / 10 / 6 / 8 / 5 / 10"
"cocinapirata","Cocinero de Krieg","2","Golpe / Fuego","1: Patada | 10: Llamarada","Llamarada","Sin pasiva individual","18 / 9 / 8 / 7 / 7 / 8"
"gyojin","Hombre-Pez","2","Agua / Golpe","1: Chorro de Agua | 9: Karate Gyojin | 18: Tiburón Dardo","Tiburón Dardo","Sin pasiva individual","20 / 10 / 8 / 12 / 9 / 9"
"gaimon","Gaimon","2","Tierra","1: Rocazo | 14: Pisotón Sísmico","Pisotón Sísmico","Sin pasiva individual","19 / 7 / 11 / 9 / 12 / 5"
